Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
83,tt7975244,12/16/2019,12/16/2019,,Jumanji: The Next Level,https://www.imdb.com/title/tt7975244/,movie,7.0,123,2019,"Action, Adventure, Comedy, Fantasy",71638,12/4/2019,Jake Kasdan
85,tt9526152,9/1/2019,9/1/2019,Not in theater.,Gekijouban danjon ni deai o motomeru no wa machigatteiru daro ka: Orion no ya,https://www.imdb.com/title/tt9526152/,movie,6.6,82,2019,"Animation, Action, Adventure, Comedy, Fantasy, Romance",312,2/15/2019,Katsushi Sakurabi
89,tt2283336,6/18/2019,6/18/2019,,Men in Black: International,https://www.imdb.com/title/tt2283336/,movie,5.6,114,2019,"Action, Adventure, Comedy, Sci-Fi",84312,6/11/2019,F. Gary Gray
93,tt8096832,11/14/2019,11/14/2019,Not in theater.,Lady and the Tramp,https://www.imdb.com/title/tt8096832/,movie,6.3,103,2019,"Adventure, Comedy, Drama, Family, Musical, Romance",8022,11/12/2019,Charlie Bean
94,tt5113040,6/7/2019,6/7/2019,,The Secret Life of Pets 2,https://www.imdb.com/title/tt5113040/,movie,6.5,86,2019,"Animation, Adventure, Comedy, Family",37033,5/24/2019,"Chris Renaud, Jonathan del Val"
97,tt5814534,1/9/2020,1/9/2020,,Spies in Disguise,https://www.imdb.com/title/tt5814534/,movie,6.8,102,2019,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",6208,12/4/2019,"Nick Bruno, Troy Quane"
103,tt1620981,10/12/2019,10/12/2019,,The Addams Family,https://www.imdb.com/title/tt1620981/,movie,5.8,86,2019,"Animation, Comedy, Family, Fantasy, Horror",14334,10/10/2019,"Conrad Vernon, Greg Tiernan"
104,tt7734218,7/20/2019,7/20/2019,,Stuber,https://www.imdb.com/title/tt7734218/,movie,6.1,93,2019,"Action, Comedy, Crime, Thriller",27297,3/13/2019,Michael Dowse
110,tt5697572,1/3/2020,1/3/2020,,Cats,https://www.imdb.com/title/tt5697572/,movie,2.8,110,2019,"Comedy, Drama, Family, Fantasy, Musical",25165,12/16/2019,Tom Hooper
111,tt5033998,11/20/2019,11/20/2019,,Charlie's Angels,https://www.imdb.com/title/tt5033998/,movie,4.2,118,2019,"Action, Adventure, Comedy",18076,11/13/2019,Elizabeth Banks
112,tt7390588,11/24/2019,11/24/2019,Not in theater.,Little Monsters,https://www.imdb.com/title/tt7390588/,movie,6.3,93,2019,"Comedy, Horror",7581,1/27/2019,Abe Forsythe
116,tt6511932,4/1/2019,4/1/2019,,The Beach Bum,https://www.imdb.com/title/tt6511932/,movie,5.5,95,2019,Comedy,13800,3/9/2019,Harmony Korine
121,tt4463894,6/14/2019,6/14/2019,,Shaft,https://www.imdb.com/title/tt4463894/,movie,6.4,111,2019,"Action, Comedy, Crime",35505,6/14/2019,Tim Story
123,tt2452244,2/18/2019,2/18/2019,,Isn't It Romantic,https://www.imdb.com/title/tt2452244/,movie,5.9,89,2019,"Comedy, Fantasy, Romance",54109,2/11/2019,Todd Strauss-Schulson
130,tt6428676,3/19/2019,3/19/2019,,Wonder Park,https://www.imdb.com/title/tt6428676/,movie,5.8,85,2019,"Animation, Adventure, Comedy, Family, Fantasy",7528,3/13/2019,Dylan Brown
134,tt8323104,3/16/2019,3/16/2019,,Nancy Drew and the Hidden Staircase,https://www.imdb.com/title/tt8323104/,movie,5.7,89,2019,"Comedy, Crime, Drama, Family, Mystery",2529,3/15/2019,Katt Shea
135,tt8085790,4/18/2019,4/18/2019,,Little,https://www.imdb.com/title/tt8085790/,movie,5.4,109,2019,"Comedy, Fantasy, Romance",8187,4/11/2019,Tina Gordon
136,tt8695030,6/15/2019,6/15/2019,,The Dead Don't Die,https://www.imdb.com/title/tt8695030/,movie,5.5,104,2019,"Comedy, Fantasy, Horror",35941,5/14/2019,Jim Jarmusch
140,tt8179388,9/9/2019,9/9/2019,Not in theater.,Rim of the World,https://www.imdb.com/title/tt8179388/,movie,5.1,98,2019,"Action, Adventure, Comedy, Sci-Fi",15480,5/24/2019,McG
142,tt9134216,11/13/2019,11/13/2019,,Playing with Fire,https://www.imdb.com/title/tt9134216/,movie,4.8,96,2019,"Comedy, Family",4380,11/7/2019,Andy Fickman
