Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
32,tt6348138,4/12/2019,4/12/2019,,Missing Link,https://www.imdb.com/title/tt6348138/,movie,6.7,93,2019,"Animation, Adventure, Comedy, Family, Fantasy",14327,4/4/2019,Chris Butler
33,tt7984734,10/26/2019,10/26/2019,,The Lighthouse,https://www.imdb.com/title/tt7984734/,movie,7.8,109,2019,"Drama, Fantasy, Horror, Mystery",62806,5/19/2019,Robert Eggers
34,tt3281548,12/26/2019,12/26/2019,,Little Women,https://www.imdb.com/title/tt3281548/,movie,8.1,135,2019,"Drama, Romance",44082,12/7/2019,Greta Gerwig
35,tt0385887,1/25/2020,1/25/2020,Not in theater.,Motherless Brooklyn,https://www.imdb.com/title/tt0385887/,movie,6.9,144,2019,"Crime, Drama, Mystery",17543,8/30/2019,Edward Norton
36,tt6820256,2/28/2019,2/28/2019,,Arctic,https://www.imdb.com/title/tt6820256/,movie,6.8,98,2018,"Adventure, Drama",34473,5/10/2018,Joe Penna
37,tt7286456,10/6/2019,10/6/2019,,Joker,https://www.imdb.com/title/tt7286456/,movie,8.6,122,2019,"Crime, Drama, Thriller",649762,8/31/2019,Todd Phillips
38,tt8637428,7/28/2019,7/28/2019,,The Farewell,https://www.imdb.com/title/tt8637428/,movie,7.7,100,2019,"Comedy, Drama",27279,1/25/2019,Lulu Wang
39,tt9806192,12/12/2019,12/12/2019,Not in theater.,J'ai perdu mon corps,https://www.imdb.com/title/tt9806192/,movie,7.6,81,2019,"Animation, Drama, Fantasy, Romance",13566,5/17/2019,Jérémy Clapin
40,tt3513498,2/12/2019,2/12/2019,,The Lego Movie 2: The Second Part,https://www.imdb.com/title/tt3513498/,movie,6.6,107,2019,"Animation, Action, Adventure, Comedy, Family, Fantasy, Musical",45121,2/2/2019,Mike Mitchell
41,tt4916630,1/27/2020,1/27/2020,,Just Mercy,https://www.imdb.com/title/tt4916630/,movie,7.5,137,2019,Drama,8400,9/6/2019,Destin Daniel Cretton
42,tt1302006,12/1/2019,12/1/2019,Not in theater.,The Irishman,https://www.imdb.com/title/tt1302006/,movie,8,209,2019,"Biography, Crime, Drama",224826,9/27/2019,Martin Scorsese
43,tt6105098,7/20/2019,7/20/2019,,The Lion King,https://www.imdb.com/title/tt6105098/,movie,7,118,2019,"Animation, Adventure, Drama, Family, Musical",160175,7/9/2019,Jon Favreau
44,tt6320628,7/4/2019,7/4/2019,,Spider-Man: Far from Home,https://www.imdb.com/title/tt6320628/,movie,7.6,129,2019,"Action, Adventure, Sci-Fi",259907,6/26/2019,Jon Watts
45,tt8760684,3/3/2019,3/3/2019,,Apollo 11,https://www.imdb.com/title/tt8760684/,movie,8.2,93,2019,"Documentary, History",15508,1/24/2019,Todd Douglas Miller
46,tt8772262,7/4/2019,7/4/2019,,Midsommar,https://www.imdb.com/title/tt8772262/,movie,7.2,147,2019,"Drama, Horror, Mystery, Thriller",110172,6/24/2019,Ari Aster
47,tt8526872,12/9/2019,12/9/2019,Not in theater.,Dolemite Is My Name,https://www.imdb.com/title/tt8526872/,movie,7.3,118,2019,"Biography, Comedy, Drama",37022,9/7/2019,Craig Brewer
48,tt0448115,4/8/2019,4/8/2019,,Shazam!,https://www.imdb.com/title/tt0448115/,movie,7.1,132,2019,"Action, Adventure, Comedy, Fantasy",212677,3/25/2019,David F. Sandberg
49,tt6472976,3/18/2019,3/18/2019,,Five Feet Apart,https://www.imdb.com/title/tt6472976/,movie,7.2,116,2019,"Drama, Romance",28742,3/14/2019,Justin Baldoni
50,tt6146586,5/20/2019,5/20/2019,,John Wick: Chapter 3 - Parabellum,https://www.imdb.com/title/tt6146586/,movie,7.5,131,2019,"Action, Crime, Thriller",220413,5/15/2019,Chad Stahelski
51,tt3224458,11/22/2019,11/22/2019,,A Beautiful Day in the Neighborhood,https://www.imdb.com/title/tt3224458/,movie,7.5,109,2019,"Biography, Drama",17405,9/7/2019,Marielle Heller
52,tt5727208,1/1/2020,1/1/2020,,Uncut Gems,https://www.imdb.com/title/tt5727208/,movie,7.8,135,2019,"Crime, Drama, Thriller",59446,8/30/2019,"Josh Safdie, Benny Safdie"
53,tt0837563,4/6/2019,4/6/2019,,Pet Sematary,https://www.imdb.com/title/tt0837563/,movie,5.8,101,2019,"Horror, Mystery, Thriller",66301,3/16/2019,"Kevin Kölsch, Dennis Widmyer"
54,tt6139732,5/26/2019,5/26/2019,,Aladdin,https://www.imdb.com/title/tt6139732/,movie,7,128,2019,"Adventure, Family, Fantasy, Musical, Romance",181477,5/8/2019,Guy Ritchie
55,tt2527338,12/22/2019,12/22/2019,,Star Wars: Episode IX - The Rise of Skywalker,https://www.imdb.com/title/tt2527338/,movie,6.9,142,2019,"Action, Adventure, Fantasy, Sci-Fi",247279,12/16/2019,J.J. Abrams
56,tt1478839,8/13/2019,8/13/2019,,The Art of Racing in the Rain,https://www.imdb.com/title/tt1478839/,movie,7.5,109,2019,"Comedy, Drama, Romance, Sport",13869,8/7/2019,Simon Curtis
57,tt5461944,4/1/2019,4/1/2019,,Hotel Mumbai,https://www.imdb.com/title/tt5461944/,movie,7.6,123,2018,"Drama, History, Thriller",39894,9/7/2018,Anthony Maras
58,tt5884052,5/10/2019,5/10/2019,,Pokémon Detective Pikachu,https://www.imdb.com/title/tt5884052/,movie,6.6,104,2019,"Action, Adventure, Comedy, Family, Mystery, Sci-Fi",112679,5/2/2019,Rob Letterman
59,tt2139881,5/16/2019,5/16/2019,,Long Shot,https://www.imdb.com/title/tt2139881/,movie,6.9,125,2019,"Comedy, Romance",68618,3/9/2019,Jonathan Levine
60,tt4648786,11/2/2019,11/2/2019,,Harriet,https://www.imdb.com/title/tt4648786/,movie,6.3,125,2019,"Action, Biography, Drama, History",8372,9/10/2019,Kasi Lemmons
